address/city,address/state,address/zipcode,bathrooms,bedrooms,livingArea,yearBuilt,price
Seattle,WA,98125,1.0,2.0,811.0,1984.0,1600
Seattle,WA,98116,1.0,2.0,1600.0,1941.0,2700
Seattle,WA,98118,2.0,2.0,900.0,,1850
Seattle,WA,98116,1.0,2.0,1600.0,1941.0,2700
Seattle,WA,98115,3.0,5.0,4000.0,2008.0,5000
Seattle,WA,98118,2.0,2.0,900.0,,1850
Seattle,WA,98144,2.5,2.0,1120.0,,1995
Seattle,WA,98144,2.5,2.0,1120.0,,1995
Seattle,WA,98125,2.0,3.0,1606.0,,2600
Seattle,WA,98106,2.5,2.0,1550.0,2007.0,2899
Seattle,WA,98106,2.5,2.0,1550.0,2007.0,2899
Seattle,WA,98144,1.0,1.0,601.0,,601
Seattle,WA,98116,2.0,3.0,1460.0,2018.0,3750
Seattle,WA,98116,2.0,3.0,1460.0,2018.0,3750
Seattle,WA,98144,1.0,1.0,601.0,,601
Seattle,WA,98133,2.0,2.0,952.0,1989.0,1769
Seattle,WA,98144,1.0,2.0,900.0,,1950
Seattle,WA,98116,1.0,1.0,,,1275
Seattle,WA,98116,1.0,1.0,,,1275
Seattle,WA,98144,1.0,2.0,900.0,,1950
Seattle,WA,98115,1.0,2.0,950.0,,1695
Seattle,WA,98122,1.5,3.0,2190.0,1929.0,3100
Seattle,WA,98116,2.0,4.0,1800.0,1953.0,4200
Seattle,WA,98116,2.0,4.0,1800.0,1953.0,4200
Seattle,WA,98115,2.0,3.0,1370.0,1927.0,3295
Seattle,WA,98122,1.5,3.0,2190.0,1929.0,3100
Seattle,WA,98104,1.5,1.0,865.0,,2400
Seattle,WA,98126,3.0,5.0,2600.0,2014.0,3300
Seattle,WA,98126,3.0,5.0,2600.0,2014.0,3300
Seattle,WA,98104,1.5,1.0,865.0,,2400
Seattle,WA,98125,2.0,3.0,1800.0,1955.0,3595
Seattle,WA,98144,1.0,3.0,960.0,,2150
Seattle,WA,98136,1.0,1.0,625.0,,1575
Seattle,WA,98136,1.0,1.0,625.0,,1575
Seattle,WA,98144,1.0,3.0,960.0,,2150
Seattle,WA,98103,1.0,1.0,400.0,,1495
Seattle,WA,98122,1.0,,348.0,,1245
Seattle,WA,98106,2.0,2.0,1800.0,1918.0,2295
Seattle,WA,98106,2.0,2.0,1800.0,1918.0,2295
Seattle,WA,98125,1.0,1.0,650.0,,1300
Seattle,WA,98122,1.0,,348.0,,1245
Seattle,WA,98116,1.0,1.0,850.0,,2000
Seattle,WA,98122,2.0,4.0,1900.0,1906.0,5495
Seattle,WA,98116,1.0,1.0,850.0,,2000
