address/city,address/state,address/zipcode,bathrooms,bedrooms,livingArea,yearBuilt,price
San Francisco,CA,94114,1.0,1.0,300.0,,1650
San Francisco,CA,94131,1.5,2.0,1200.0,1981.0,3600
San Francisco,CA,94117,1.0,1.0,,,2495
San Francisco,CA,94114,1.0,2.0,767.0,1965.0,3750
San Francisco,CA,94114,1.0,2.0,,,4150
San Francisco,CA,94116,2.0,3.0,1075.0,1948.0,5500
San Francisco,CA,94117,5.5,5.0,6350.0,1907.0,17000
San Francisco,CA,94117,1.0,3.0,,,6230
San Francisco,CA,94131,3.0,4.0,2000.0,1956.0,5995
San Francisco,CA,94122,1.0,1.0,,,2300
San Francisco,CA,94122,2.0,4.0,1600.0,,5500
San Francisco,CA,94122,1.0,2.0,750.0,,2475
San Francisco,CA,94122,1.0,2.0,330.0,,2600
San Francisco,CA,94131,1.0,1.0,700.0,,2395
San Francisco,CA,94114,1.0,1.0,,,2795
San Francisco,CA,94114,1.0,2.0,1000.0,1907.0,3700
San Francisco,CA,94117,1.0,1.0,670.0,,2650
San Francisco,CA,94117,3.0,7.0,4000.0,,9995
San Francisco,CA,94117,1.0,1.0,,,2895
San Francisco,CA,94117,1.0,1.0,1000.0,,3400
San Francisco,CA,94122,1.0,1.0,,,1700
San Francisco,CA,94117,1.0,2.0,,,2995
San Francisco,CA,94114,1.0,1.0,,,2995
San Francisco,CA,94131,1.0,,600.0,1961.0,2000
San Francisco,CA,94122,1.0,2.0,1187.0,1924.0,4600
San Francisco,CA,94131,2.0,3.0,1400.0,1947.0,6950
San Francisco,CA,94117,1.0,2.0,850.0,,3400
San Francisco,CA,94122,1.0,1.0,580.0,,2700
San Francisco,CA,94131,3.0,5.0,2083.0,1959.0,7500
San Francisco,CA,94131,1.0,2.0,900.0,,2999
San Francisco,CA,94122,1.0,3.0,1350.0,,3750
San Francisco,CA,94117,1.5,4.0,1275.0,1909.0,4995
San Francisco,CA,94117,1.0,1.0,527.0,1908.0,2495
San Francisco,CA,94116,3.5,4.0,2900.0,1924.0,8000
San Francisco,CA,94117,2.0,4.0,2250.0,1942.0,7000
San Francisco,CA,94131,1.0,1.0,744.0,1972.0,2595
San Francisco,CA,94117,1.0,1.0,955.0,1946.0,3500
San Francisco,CA,94118,1.0,1.0,950.0,,2895
San Francisco,CA,94114,1.0,1.0,,,2900
San Francisco,CA,94117,1.0,1.0,,,2395
San Francisco,CA,94122,2.0,2.0,1200.0,1941.0,4500
San Francisco,CA,94122,2.0,3.0,1600.0,,3850
San Francisco,CA,94122,1.0,2.0,,,2600
San Francisco,CA,94117,1.0,3.0,1200.0,1900.0,5200
San Francisco,CA,94117,1.0,3.0,,1911.0,4500
San Francisco,CA,94117,1.0,1.0,750.0,,2650
San Francisco,CA,94118,3.0,6.0,2270.0,1910.0,7900
San Francisco,CA,94117,2.0,4.0,1800.0,,5500
San Francisco,CA,94122,2.0,2.0,800.0,,2800
San Francisco,CA,94114,1.5,3.0,1925.0,1890.0,5400
San Francisco,CA,94122,2.0,3.0,1700.0,,6500
San Francisco,CA,94118,1.0,2.0,800.0,,3000
San Francisco,CA,94117,1.0,1.0,650.0,,2900
San Francisco,CA,94117,1.0,1.0,740.0,,2495
San Francisco,CA,94114,1.0,1.0,450.0,1922.0,2590
San Francisco,CA,94117,1.0,2.0,,,3650
San Francisco,CA,94114,1.5,2.0,1156.0,,4500
San Francisco,CA,94117,2.0,3.0,1200.0,,4300
San Francisco,CA,94122,1.0,2.0,,,2595
San Francisco,CA,94122,1.0,2.0,1000.0,,2750
San Francisco,CA,94121,1.0,2.0,,,2950
San Francisco,CA,94117,1.0,3.0,1500.0,,4295
San Francisco,CA,94131,2.5,3.0,1731.0,1977.0,5100
San Francisco,CA,94122,1.5,3.0,,,3300
San Francisco,CA,94114,1.0,3.0,,,4300
San Francisco,CA,94117,1.0,1.0,650.0,1923.0,2245
San Francisco,CA,94118,1.0,2.0,1250.0,,3595
San Francisco,CA,94114,1.0,,261.0,,2095
San Francisco,CA,94131,3.5,4.0,3054.0,2014.0,12000
San Francisco,CA,94127,2.0,3.0,1752.0,1951.0,4195
San Francisco,CA,94117,1.0,1.0,700.0,,2395
San Francisco,CA,94122,1.0,2.0,700.0,,2300
San Francisco,CA,94114,1.0,2.0,1050.0,1900.0,3995
San Francisco,CA,94131,1.0,1.0,1600.0,1975.0,1800
San Francisco,CA,94117,1.0,1.0,600.0,,2350
San Francisco,CA,94122,1.0,2.0,1050.0,,3495
San Francisco,CA,94122,1.0,1.0,500.0,1991.0,2100
San Francisco,CA,94131,2.0,2.0,1175.0,,3300
San Francisco,CA,94118,1.0,1.0,930.0,1906.0,3290
San Francisco,CA,94117,2.0,3.0,1165.0,,4000
San Francisco,CA,94131,3.5,6.0,2900.0,1962.0,9500
San Francisco,CA,94131,1.0,1.0,,,2300
San Francisco,CA,94117,1.5,4.0,1500.0,,4600
San Francisco,CA,94117,1.0,1.0,,,2495
San Francisco,CA,94131,1.0,1.0,750.0,,3095
San Francisco,CA,94117,2.0,4.0,,,5395
San Francisco,CA,94122,1.0,1.0,,,2095
San Francisco,CA,94114,1.0,,600.0,1910.0,1950
San Francisco,CA,94122,1.0,3.0,,1909.0,4195
San Francisco,CA,94114,1.0,,,1909.0,2395
San Francisco,CA,94117,1.0,1.0,575.0,,3000
San Francisco,CA,94116,1.0,2.0,1138.0,,3800
San Francisco,CA,94117,1.0,,,,2000
San Francisco,CA,94118,1.0,1.0,900.0,,2695
San Francisco,CA,94122,2.0,4.0,1800.0,1900.0,4750
San Francisco,CA,94114,1.0,1.0,619.0,1964.0,2775
San Francisco,CA,94131,1.0,,310.0,,1695
San Francisco,CA,94122,1.0,1.0,,,2700
San Francisco,CA,94114,1.0,3.0,1300.0,,4750
San Francisco,CA,94114,2.0,2.0,1100.0,1975.0,5475
San Francisco,CA,94122,1.0,2.0,,,3299
San Francisco,CA,94116,1.0,2.0,914.0,1931.0,3750
San Francisco,CA,94122,1.0,,650.0,,2550
San Francisco,CA,94114,1.0,3.0,1300.0,1900.0,5200
San Francisco,CA,94114,4.0,6.0,3200.0,,12500
San Francisco,CA,94114,2.0,2.0,1578.0,1981.0,5000
San Francisco,CA,94117,2.0,3.0,2200.0,1941.0,7950
San Francisco,CA,94117,1.0,2.0,,,3200
San Francisco,CA,94117,2.0,4.0,,,5595
San Francisco,CA,94116,1.0,2.0,,,3100
San Francisco,CA,94117,1.0,1.0,500.0,,2395
San Francisco,CA,94114,1.5,2.0,940.0,1900.0,4575
San Francisco,CA,94114,1.0,1.0,800.0,1933.0,3000
San Francisco,CA,94117,1.0,,390.0,,2100
San Francisco,CA,94116,1.0,2.0,700.0,1924.0,2495
San Francisco,CA,94121,1.0,2.0,,,2800
San Francisco,CA,94114,1.0,2.0,1200.0,,4100
San Francisco,CA,94114,1.0,,500.0,,1995
San Francisco,CA,94122,1.0,2.0,700.0,1939.0,2800
San Francisco,CA,94131,1.0,1.0,830.0,1972.0,2500
San Francisco,CA,94117,1.0,1.0,,,2900
San Francisco,CA,94114,1.0,1.0,,,2400
San Francisco,CA,94117,3.0,3.0,2000.0,,6390
San Francisco,CA,94117,1.0,1.0,550.0,,2295
San Francisco,CA,94117,2.5,4.0,4758.0,1900.0,7200
San Francisco,CA,94117,1.0,2.0,,,4095
San Francisco,CA,94117,1.0,1.0,,,2195
San Francisco,CA,94122,1.0,2.0,440.0,,2950
San Francisco,CA,94118,1.0,3.0,1000.0,,3400
San Francisco,CA,94117,1.0,2.0,,,3395
San Francisco,CA,94117,1.0,2.0,,,2995
San Francisco,CA,94114,1.0,1.0,659.0,,3095
San Francisco,CA,94122,1.5,2.0,770.0,1939.0,2400
San Francisco,CA,94122,1.0,3.0,1630.0,1932.0,3500
San Francisco,CA,94116,1.0,,336.0,,1650
San Francisco,CA,94122,1.0,1.0,650.0,,2750
San Francisco,CA,94117,1.0,1.0,192.0,,1450
San Francisco,CA,94121,1.5,3.0,1100.0,1974.0,3000
San Francisco,CA,94118,1.0,3.0,1340.0,,4800
San Francisco,CA,94117,4.0,4.0,3074.0,1900.0,25000
San Francisco,CA,94117,1.0,2.0,,,3950
