address/city,address/state,address/zipcode,bathrooms,bedrooms,livingArea,yearBuilt,price
Los Angeles,CA,91364,3.5,4.0,2634.0,1977.0,4700
Los Angeles,CA,91406,2.0,3.0,1250.0,1950.0,3275
Los Angeles,CA,91356,1.0,3.0,1085.0,1950.0,3250
Los Angeles,CA,91406,2.0,3.0,1200.0,1954.0,3200
Los Angeles,CA,90272,2.0,3.0,1985.0,1958.0,14000
Los Angeles,CA,91411,1.0,1.0,500.0,,1250
Los Angeles,CA,90272,3.0,3.0,2205.0,1961.0,15500
Los Angeles,CA,91364,1.0,1.0,400.0,1955.0,1695
Los Angeles,CA,91342,1.0,2.0,900.0,2003.0,1700
Los Angeles,CA,91364,2.5,3.0,1900.0,1972.0,6000
Los Angeles,CA,91401,1.0,,1050.0,,1695
Los Angeles,CA,91356,2.0,4.0,1737.0,1950.0,3495
Los Angeles,CA,91605,1.0,2.0,,,1595
Los Angeles,CA,91406,3.0,4.0,1908.0,1950.0,3895
Los Angeles,CA,91364,2.0,2.0,1499.0,1953.0,3450
Los Angeles,CA,91344,1.0,1.0,400.0,1956.0,1850
Los Angeles,CA,91356,1.0,,450.0,2007.0,1415
Los Angeles,CA,91406,2.0,2.0,1124.0,1953.0,1950
Los Angeles,CA,91356,3.5,4.0,3030.0,1963.0,10000
Los Angeles,CA,91042,3.0,4.0,2262.0,1948.0,3700
Los Angeles,CA,91605,1.0,2.0,1000.0,,1995
Los Angeles,CA,91042,2.0,3.0,1396.0,1956.0,3000
Los Angeles,CA,91342,1.0,1.0,652.0,,1830
Los Angeles,CA,91606,2.0,2.0,1000.0,,1895
Los Angeles,CA,91606,2.0,4.0,2000.0,1947.0,3200
Los Angeles,CA,91605,1.0,1.0,700.0,1954.0,1658
Los Angeles,CA,91605,1.0,1.0,600.0,1951.0,1500
Los Angeles,CA,91605,1.0,1.0,600.0,1951.0,1600
Los Angeles,CA,91331,2.0,2.0,816.0,,1850
Los Angeles,CA,91606,2.5,2.0,950.0,,2100
Los Angeles,CA,91042,1.0,1.0,624.0,1957.0,1500
Los Angeles,CA,91352,2.5,3.0,1200.0,2017.0,3000
Los Angeles,CA,91606,2.0,4.0,1400.0,1947.0,3950
Los Angeles,CA,91605,1.0,1.0,817.0,,1595
Los Angeles,CA,91331,2.0,2.0,1175.0,,1895
Los Angeles,CA,91605,1.0,1.0,970.0,,1500
Los Angeles,CA,91605,2.0,3.0,1357.0,1953.0,3320
Los Angeles,CA,91605,1.0,1.0,,,1495
Los Angeles,CA,91601,1.0,1.0,685.0,,1695
Los Angeles,CA,91606,1.0,1.0,750.0,,1700
Los Angeles,CA,91606,1.0,,400.0,1962.0,1350
Los Angeles,CA,91606,2.0,2.0,1156.0,,1895
Los Angeles,CA,91042,1.0,1.0,600.0,1964.0,1600
Los Angeles,CA,91606,1.0,2.0,842.0,1947.0,2450
Los Angeles,CA,91331,2.5,4.0,1810.0,2004.0,2950
Los Angeles,CA,91040,1.0,1.0,462.0,,1800
Los Angeles,CA,91605,1.0,1.0,650.0,,1650
Los Angeles,CA,91605,2.0,3.0,,,2870
Los Angeles,CA,90044,1.0,2.0,,,2000
Los Angeles,CA,91606,3.0,3.0,1080.0,1951.0,7500
Los Angeles,CA,90044,1.0,1.0,,,1668
Los Angeles,CA,90732,2.0,2.0,1000.0,,1895
Los Angeles,CA,90044,1.0,,400.0,,1000
Los Angeles,CA,90731,1.0,1.0,750.0,,1350
Los Angeles,CA,91352,1.0,3.0,1084.0,1952.0,3000
Los Angeles,CA,90002,2.0,3.0,2766.0,1965.0,2640
